exchangeSegment,securityId,instrument,tradingSymbol,customSymbol,expiryDate,strikePrice,optionType
BSE_FNO,1100789,OPTIDX,SENSEX-Mar2026-79000-PE,SENSEX 26 MAR 79000 PUT,26-03-2026 15:30,79000,PE
BSE_FNO,1100798,OPTIDX,SENSEX-Mar2026-83000-PE,SENSEX 26 MAR 83000 PUT,26-03-2026 15:30,83000,PE
BSE_FNO,1100882,OPTIDX,SENSEX-Mar2026-77000-CE,SENSEX 26 MAR 77000 CALL,26-03-2026 15:30,77000,CE
BSE_FNO,1100892,OPTIDX,SENSEX-Mar2026-81000-CE,SENSEX 26 MAR 81000 CALL,26-03-2026 15:30,81000,CE
BSE_FNO,1100908,OPTIDX,SENSEX-Mar2026-78000-CE,SENSEX 26 MAR 78000 CALL,26-03-2026 15:30,78000,CE
BSE_FNO,1101023,OPTIDX,SENSEX-Mar2026-81000-PE,SENSEX 26 MAR 81000 PUT,26-03-2026 15:30,81000,PE
BSE_FNO,1101036,OPTIDX,SENSEX-Mar2026-78000-PE,SENSEX 26 MAR 78000 PUT,26-03-2026 15:30,78000,PE
BSE_FNO,1101047,OPTIDX,SENSEX-Mar2026-82000-PE,SENSEX 26 MAR 82000 PUT,26-03-2026 15:30,82000,PE
BSE_FNO,1101138,OPTIDX,SENSEX-Mar2026-80000-CE,SENSEX 26 MAR 80000 CALL,26-03-2026 15:30,80000,CE
BSE_FNO,1101238,OPTIDX,SENSEX-Mar2026-82000-CE,SENSEX 26 MAR 82000 CALL,26-03-2026 15:30,82000,CE
BSE_FNO,1101250,OPTIDX,SENSEX-Mar2026-79000-CE,SENSEX 26 MAR 79000 CALL,26-03-2026 15:30,79000,CE
BSE_FNO,1101258,OPTIDX,SENSEX-Mar2026-80000-PE,SENSEX 26 MAR 80000 PUT,26-03-2026 15:30,80000,PE
BSE_FNO,1101262,OPTIDX,SENSEX-Mar2026-83000-CE,SENSEX 26 MAR 83000 CALL,26-03-2026 15:30,83000,CE
BSE_FNO,1101272,OPTIDX,SENSEX-Mar2026-77000-PE,SENSEX 26 MAR 77000 PUT,26-03-2026 15:30,77000,PE
BSE_FNO,1113298,OPTIDX,SENSEX-Dec2027-77000-CE,SENSEX 30 DEC 77000 CALL,30-12-2027 15:30,77000,CE
BSE_FNO,1113375,OPTIDX,SENSEX-Dec2027-77000-PE,SENSEX 30 DEC 77000 PUT,30-12-2027 15:30,77000,PE
BSE_FNO,1113380,OPTIDX,SENSEX-Jun2028-77000-CE,SENSEX 29 JUN 77000 CALL,29-06-2028 15:30,77000,CE
BSE_FNO,1113488,OPTIDX,SENSEX-Jun2028-77000-PE,SENSEX 29 JUN 77000 PUT,29-06-2028 15:30,77000,PE
BSE_FNO,1113797,OPTIDX,SENSEX-Dec2025-77000-CE,SENSEX 24 DEC 77000 CALL,24-12-2025 15:30,77000,CE
BSE_FNO,1113889,OPTIDX,SENSEX-Dec2026-77000-CE,SENSEX 31 DEC 77000 CALL,31-12-2026 15:30,77000,CE
BSE_FNO,1113896,OPTIDX,SENSEX-Jun2026-77000-CE,SENSEX 25 JUN 77000 CALL,25-06-2026 15:30,77000,CE
